Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-1.7950e-03,0.01,0.08
-1.7940e-03,0.01,0.06
-1.7930e-03,0.01,0.04
-1.7920e-03,0.01,0.1
-1.7910e-03,0.03,0.08
-1.7900e-03,-0.03,0.06
-1.7890e-03,0.03,0.12
-1.7880e-03,-0.01,0.08
-1.7870e-03,0.03,0.06
-1.7860e-03,0.03,0.08
-1.7850e-03,0.05,0.08
-1.7840e-03,0.01,0.08
-1.7830e-03,0.03,0.08
-1.7820e-03,0.03,0.06
-1.7810e-03,-0.01,0.08
-1.7800e-03,0.01,0.08
-1.7790e-03,0.03,0.06
-1.7780e-03,0.01,0.1
-1.7770e-03,0.03,0.1
-1.7760e-03,-0.01,0.04
-1.7750e-03,0.01,0.08
-1.7740e-03,0.01,0.1
-1.7730e-03,0.03,0.08
-1.7720e-03,0.07,0.08
-1.7710e-03,0.01,0.06
-1.7700e-03,0.03,0.12
-1.7690e-03,-0.01,0.1
-1.7680e-03,-0.01,0.08
-1.7670e-03,0.01,0.12
-1.7660e-03,-0.01,0.08
-1.7650e-03,0.01,0.08
-1.7640e-03,0.03,0.12
-1.7630e-03,0.01,0.12
-1.7620e-03,0.01,0.04
-1.7610e-03,-0.03,0.06
-1.7600e-03,0.05,0.08
-1.7590e-03,0.01,0.1
-1.7580e-03,0.01,0.12
-1.7570e-03,-0.01,0.06
-1.7560e-03,0.01,0.1
-1.7550e-03,0.03,0.1
-1.7540e-03,-0.01,0.08
-1.7530e-03,0.01,0.04
-1.7520e-03,0.01,0.04
-1.7510e-03,0.05,0.06
-1.7500e-03,0.03,0.08
-1.7490e-03,0.01,0.06
-1.7480e-03,0.01,0.06
-1.7470e-03,0.01,0.06
-1.7460e-03,0.03,0.08
-1.7450e-03,-0.01,0.06
-1.7440e-03,-0.01,0.14
-1.7430e-03,-0.03,0.06
-1.7420e-03,0.01,0.08
-1.7410e-03,0.01,0.14
-1.7400e-03,-0.01,0.06
-1.7390e-03,-0.01,0.06
-1.7380e-03,0.03,0.08
-1.7370e-03,0.03,0.1
-1.7360e-03,0.03,0.08
-1.7350e-03,0.03,0.08
-1.7340e-03,0.03,0.08
-1.7330e-03,0.03,0.06
-1.7320e-03,0.03,0.12
-1.7310e-03,0.01,0.1
-1.7300e-03,-0.01,0.1
-1.7290e-03,0.01,0.06
-1.7280e-03,0.01,0.1
-1.7270e-03,0.01,0.06
-1.7260e-03,0.01,0.06
-1.7250e-03,-0.01,0.06
-1.7240e-03,0.01,0.04
-1.7230e-03,0.01,0.1
-1.7220e-03,-0.01,0.06
-1.7210e-03,0.05,0.06
-1.7200e-03,0.01,0.08
